query	top	match
1639.1356_FFGZ01000001	3	1639.1425
1639.1356_FFGZ01000001	4	1639.10241
1639.1356_FFGZ01000001	5	1639.3762
1639.1356_FFGZ01000001	6	1639.3137
1639.1356_FFGZ01000001	7	1639.3652
1639.1356_FFGZ01000001	8	1639.3125
1639.1356_FFGZ01000001	9	1639.3169
1639.1356_FFGZ01000001	10	1639.1102
1639.1356_FFGZ01000001	11	1639.1090
1639.1356_FFGZ01000001	12	1639.1138
1639.1356_FFGZ01000001	13	1639.1096
1639.1356_FFGZ01000001	14	1639.1870
1639.1356_FFGZ01000001	15	1639.10242
1639.1356_FFGZ01000001	16	1639.4992
1639.1356_FFGZ01000001	17	1400819.3
1639.1356_FFGZ01000001	18	1639.8576
1639.1356_FFGZ01000001	19	1639.1817
1639.1356_FFGZ01000001	20	1639.10236
1639.1356_FFGZ01000001	21	1639.7037
1639.1356_FFGZ01000001	22	1639.4560
1639.1356_FFGZ01000001	23	1639.3779
1639.1356_FFGZ01000001	24	1639.4261
1639.1356_FFGZ01000001	25	1639.1837
1639.1356_FFGZ01000001	26	1639.7038
1639.1356_FFGZ01000001	27	1639.1858
1639.1356_FFGZ01000001	28	1639.4543
1639.1356_FFGZ01000001	29	1639.7039
1639.1356_FFGZ01000001	30	1639.1890
1639.1356_FFGZ01000001	31	1639.3781
1639.1356_FFGZ01000001	32	1639.7042
1639.1356_FFGZ01000001	33	1639.1043
1639.1356_FFGZ01000001	34	1639.4997
1639.1356_FFGZ01000001	35	1639.8533
1639.1356_FFGZ01000001	36	1639.3529
1639.1356_FFGZ01000001	37	1639.4862
1639.1356_FFGZ01000001	38	1639.5572
1639.1356_FFGZ01000001	39	1639.1867
1639.1356_FFGZ01000001	40	1639.5235
1639.1356_FFGZ01000001	41	1639.1042
1639.1356_FFGZ01000001	42	1639.7043
1639.1356_FFGZ01000001	43	1639.4262
1639.1356_FFGZ01000001	44	1639.1816
1639.1356_FFGZ01000001	45	1639.3504
1639.1356_FFGZ01000001	46	1639.5151
1639.1356_FFGZ01000001	47	1639.1948
1639.1356_FFGZ01000001	48	1639.3136
1639.1356_FFGZ01000001	49	1639.8209
1639.1356_FFGZ01000001	50	1639.5033
1639.1356_FFGZ01000001	51	1639.4363
1639.1356_FFGZ01000001	52	1639.5035
1639.1356_FFGZ01000001	53	1639.9399
1639.1356_FFGZ01000001	54	1639.1153
1639.1356_FFGZ01000001	55	1639.3465
1639.1356_FFGZ01000001	56	1639.3759
1639.1356_FFGZ01000001	57	1639.3229
1639.1356_FFGZ01000001	58	1639.2655
1639.1356_FFGZ01000001	59	1639.1861
1639.1356_FFGZ01000001	60	1639.1126
1639.1356_FFGZ01000001	61	1639.5116
1639.1356_FFGZ01000001	62	1639.1838
1639.1356_FFGZ01000001	63	932920.3
1639.1356_FFGZ01000001	64	1639.3067
1639.1356_FFGZ01000001	65	1639.3505
1639.1356_FFGZ01000001	66	1639.3517
1639.1356_FFGZ01000001	67	1196195.3
1639.1356_FFGZ01000001	68	1639.1131
1639.1356_FFGZ01000001	69	1639.1795
1639.1356_FFGZ01000001	70	1639.3521
1639.1356_FFGZ01000001	71	1639.1134
1639.1356_FFGZ01000001	72	1639.3753
1639.1356_FFGZ01000001	73	1639.3766
1639.1356_FFGZ01000001	74	1639.4945
1639.1356_FFGZ01000001	75	1639.3515
1639.1356_FFGZ01000001	76	1639.3494
1639.1356_FFGZ01000001	77	1639.4290
1639.1356_FFGZ01000001	78	1639.5103
1639.1356_FFGZ01000001	79	1639.3482
1639.1356_FFGZ01000001	80	1639.3500
1639.1356_FFGZ01000001	81	1639.3134
1639.1356_FFGZ01000001	82	1639.1810
1639.1356_FFGZ01000001	83	1639.3768
1639.1356_FFGZ01000001	84	1639.1818
1639.1356_FFGZ01000001	85	1639.1803
1639.1356_FFGZ01000001	86	1639.9400
1639.1356_FFGZ01000001	87	1639.5646
1639.1356_FFGZ01000001	88	1639.4821
1639.1356_FFGZ01000001	89	1196193.3
1639.1356_FFGZ01000001	90	1639.9406
1639.1356_FFGZ01000001	91	1639.2110
1639.1356_FFGZ01000001	92	1196194.3
1639.1356_FFGZ01000001	93	1639.4306
1639.1356_FFGZ01000001	94	1639.3767
1639.1356_FFGZ01000001	95	1639.3167
1639.1356_FFGZ01000001	96	1639.11185
1639.1356_FFGZ01000001	97	1639.1785
1639.1356_FFGZ01000001	98	1639.3514
1639.1356_FFGZ01000001	99	1639.4466
1639.1356_FFGZ01000001	100	1639.6096
1639.1356_FFGZ01000001	101	1639.4861
1639.1356_FFGZ01000001	1	1891241.381
1639.1356_FFGZ01000001	2	1639.1356
1639.1356_FFGZ01000001	3	1639.1425
1639.1356_FFGZ01000001	4	1639.10241
1639.1356_FFGZ01000001	5	1639.3762
1639.1356_FFGZ01000001	6	1639.3137
1639.1356_FFGZ01000001	7	1639.3652
1639.1356_FFGZ01000001	8	1639.3125
1639.1356_FFGZ01000001	9	1639.3169
1639.1356_FFGZ01000001	10	1639.1102
1639.1356_FFGZ01000001	11	1639.1090
1639.1356_FFGZ01000001	12	1639.1138
1639.1356_FFGZ01000001	13	1639.1096
1639.1356_FFGZ01000001	14	1639.1870
1639.1356_FFGZ01000001	15	1639.10242
1639.1356_FFGZ01000001	16	1639.4992
1639.1356_FFGZ01000001	17	1400819.3
1639.1356_FFGZ01000001	18	1639.8576
1639.1356_FFGZ01000001	19	1639.1817
1639.1356_FFGZ01000001	20	1639.10236
1639.1356_FFGZ01000001	21	1639.7037
1639.1356_FFGZ01000001	22	1639.4560
1639.1356_FFGZ01000001	23	1639.3779
1639.1356_FFGZ01000001	24	1639.4261
1639.1356_FFGZ01000001	25	1639.1837
1639.1356_FFGZ01000001	26	1639.7038
1639.1356_FFGZ01000001	27	1639.1858
1639.1356_FFGZ01000001	28	1639.4543
1639.1356_FFGZ01000001	29	1639.7039
1639.1356_FFGZ01000001	30	1639.1890
1639.1356_FFGZ01000001	31	1639.3781
1639.1356_FFGZ01000001	32	1639.7042
1639.1356_FFGZ01000001	33	1639.1043
1639.1356_FFGZ01000001	34	1639.4997
1639.1356_FFGZ01000001	35	1639.8533
1639.1356_FFGZ01000001	36	1639.3529
1639.1356_FFGZ01000001	37	1639.4862
1639.1356_FFGZ01000001	38	1639.5572
1639.1356_FFGZ01000001	39	1639.1867
1639.1356_FFGZ01000001	40	1639.5235
1639.1356_FFGZ01000001	41	1639.1042
1639.1356_FFGZ01000001	42	1639.7043
1639.1356_FFGZ01000001	43	1639.4262
1639.1356_FFGZ01000001	44	1639.1816
1639.1356_FFGZ01000001	45	1639.3504
1639.1356_FFGZ01000001	46	1639.5151
1639.1356_FFGZ01000001	47	1639.1948
1639.1356_FFGZ01000001	48	1639.3136
1639.1356_FFGZ01000001	49	1639.8209
1639.1356_FFGZ01000001	50	1639.5033
1639.1356_FFGZ01000001	51	1639.4363
1639.1356_FFGZ01000001	52	1639.5035
1639.1356_FFGZ01000001	53	1639.9399
1639.1356_FFGZ01000001	54	1639.1153
1639.1356_FFGZ01000001	55	1639.3465
1639.1356_FFGZ01000001	56	1639.3759
1639.1356_FFGZ01000001	57	1639.3229
1639.1356_FFGZ01000001	58	1639.2655
1639.1356_FFGZ01000001	59	1639.1861
1639.1356_FFGZ01000001	60	1639.1126
1639.1356_FFGZ01000001	61	1639.5116
1639.1356_FFGZ01000001	62	1639.1838
1639.1356_FFGZ01000001	63	932920.3
1639.1356_FFGZ01000001	64	1639.3067
1639.1356_FFGZ01000001	65	1639.3505
1639.1356_FFGZ01000001	66	1639.3517
1639.1356_FFGZ01000001	67	1196195.3
1639.1356_FFGZ01000001	68	1639.1131
1639.1356_FFGZ01000001	69	1639.1795
1639.1356_FFGZ01000001	70	1639.3521
1639.1356_FFGZ01000001	71	1639.1134
1639.1356_FFGZ01000001	72	1639.3753
1639.1356_FFGZ01000001	73	1639.3766
1639.1356_FFGZ01000001	74	1639.4945
1639.1356_FFGZ01000001	75	1639.3515
1639.1356_FFGZ01000001	76	1639.3494
1639.1356_FFGZ01000001	77	1639.4290
1639.1356_FFGZ01000001	78	1639.5103
1639.1356_FFGZ01000001	79	1639.3482
1639.1356_FFGZ01000001	80	1639.3500
1639.1356_FFGZ01000001	81	1639.3134
1639.1356_FFGZ01000001	82	1639.1810
1639.1356_FFGZ01000001	83	1639.3768
1639.1356_FFGZ01000001	84	1639.1818
1639.1356_FFGZ01000001	85	1639.1803
1639.1356_FFGZ01000001	86	1639.9400
1639.1356_FFGZ01000001	87	1639.5646
1639.1356_FFGZ01000001	88	1639.4821
1639.1356_FFGZ01000001	89	1196193.3
1639.1356_FFGZ01000001	90	1639.9406
1639.1356_FFGZ01000001	91	1639.2110
1639.1356_FFGZ01000001	92	1196194.3
1639.1356_FFGZ01000001	93	1639.4306
1639.1356_FFGZ01000001	94	1639.3767
1639.1356_FFGZ01000001	95	1639.3167
1639.1356_FFGZ01000001	96	1639.11185
1639.1356_FFGZ01000001	97	1639.1785
1639.1356_FFGZ01000001	98	1639.3514
1639.1356_FFGZ01000001	99	1639.4466
1639.1356_FFGZ01000001	100	1639.6096
1639.1356_FFGZ01000001	101	1639.4861
1639.1356_FFGZ01000001	1	2212473.196
1639.1356_FFGZ01000001	2	1639.1356
1639.1356_FFGZ01000001	3	1639.1425
1639.1356_FFGZ01000001	4	1639.10241
1639.1356_FFGZ01000001	5	1639.3762
1639.1356_FFGZ01000001	6	1639.3137
1639.1356_FFGZ01000001	7	1639.3652
1639.1356_FFGZ01000001	8	1639.3125
1639.1356_FFGZ01000001	9	1639.3169
1639.1356_FFGZ01000001	10	1639.1102
1639.1356_FFGZ01000001	11	1639.1090
1639.1356_FFGZ01000001	12	1639.1138
1639.1356_FFGZ01000001	13	1639.1096
1639.1356_FFGZ01000001	14	1639.1870
1639.1356_FFGZ01000001	15	1639.10242
1639.1356_FFGZ01000001	16	1639.4992
1639.1356_FFGZ01000001	17	1400819.3
1639.1356_FFGZ01000001	18	1639.8576
1639.1356_FFGZ01000001	19	1639.1817
1639.1356_FFGZ01000001	20	1639.10236
1639.1356_FFGZ01000001	21	1639.7037
1639.1356_FFGZ01000001	22	1639.4560
1639.1356_FFGZ01000001	23	1639.3779
1639.1356_FFGZ01000001	24	1639.4261
1639.1356_FFGZ01000001	25	1639.1837
1639.1356_FFGZ01000001	26	1639.7038
1639.1356_FFGZ01000001	27	1639.1858
1639.1356_FFGZ01000001	28	1639.4543
1639.1356_FFGZ01000001	29	1639.7039
1639.1356_FFGZ01000001	30	1639.1890
1639.1356_FFGZ01000001	31	1639.3781
1639.1356_FFGZ01000001	32	1639.7042
1639.1356_FFGZ01000001	33	1639.1043
1639.1356_FFGZ01000001	34	1639.4997
1639.1356_FFGZ01000001	35	1639.8533
1639.1356_FFGZ01000001	36	1639.3529
1639.1356_FFGZ01000001	37	1639.4862
1639.1356_FFGZ01000001	38	1639.5572
1639.1356_FFGZ01000001	39	1639.1867
1639.1356_FFGZ01000001	40	1639.5235
1639.1356_FFGZ01000001	41	1639.1042
1639.1356_FFGZ01000001	42	1639.7043
1639.1356_FFGZ01000001	43	1639.4262
1639.1356_FFGZ01000001	44	1639.1816
1639.1356_FFGZ01000001	45	1639.3504
1639.1356_FFGZ01000001	46	1639.5151
1639.1356_FFGZ01000001	47	1639.1948
1639.1356_FFGZ01000001	48	1639.3136
1639.1356_FFGZ01000001	49	1639.8209
1639.1356_FFGZ01000001	50	1639.5033
1639.1356_FFGZ01000001	51	1639.4363
1639.1356_FFGZ01000001	52	1639.5035
1639.1356_FFGZ01000001	53	1639.9399
1639.1356_FFGZ01000001	54	1639.1153
1639.1356_FFGZ01000001	55	1639.3465
1639.1356_FFGZ01000001	56	1639.3759
1639.1356_FFGZ01000001	57	1639.3229
1639.1356_FFGZ01000001	58	1639.2655
1639.1356_FFGZ01000001	59	1639.1861
1639.1356_FFGZ01000001	60	1639.1126
1639.1356_FFGZ01000001	61	1639.5116
1639.1356_FFGZ01000001	62	1639.1838
1639.1356_FFGZ01000001	63	932920.3
1639.1356_FFGZ01000001	64	1639.3067
1639.1356_FFGZ01000001	65	1639.3505
1639.1356_FFGZ01000001	66	1639.3517
1639.1356_FFGZ01000001	67	1196195.3
1639.1356_FFGZ01000001	68	1639.1131
1639.1356_FFGZ01000001	69	1639.1795
1639.1356_FFGZ01000001	70	1639.3521
1639.1356_FFGZ01000001	71	1639.1134
1639.1356_FFGZ01000001	72	1639.3753
1639.1356_FFGZ01000001	73	1639.3766
1639.1356_FFGZ01000001	74	1639.4945
1639.1356_FFGZ01000001	75	1639.3515
1639.1356_FFGZ01000001	76	1639.3494
1639.1356_FFGZ01000001	77	1639.4290
1639.1356_FFGZ01000001	78	1639.5103
1639.1356_FFGZ01000001	79	1639.3482
1639.1356_FFGZ01000001	80	1639.3500
1639.1356_FFGZ01000001	81	1639.3134
1639.1356_FFGZ01000001	82	1639.1810
1639.1356_FFGZ01000001	83	1639.3768
1639.1356_FFGZ01000001	84	1639.1818
1639.1356_FFGZ01000001	85	1639.1803
1639.1356_FFGZ01000001	86	1639.9400
1639.1356_FFGZ01000001	87	1639.5646
1639.1356_FFGZ01000001	88	1639.4821
1639.1356_FFGZ01000001	89	1196193.3
1639.1356_FFGZ01000001	90	1639.9406
1639.1356_FFGZ01000001	91	1639.2110
1639.1356_FFGZ01000001	92	1196194.3
1639.1356_FFGZ01000001	93	1639.4306
1639.1356_FFGZ01000001	94	1639.3767
1639.1356_FFGZ01000001	95	1639.3167
1639.1356_FFGZ01000001	96	1639.11185
1639.1356_FFGZ01000001	97	1639.1785
1639.1356_FFGZ01000001	98	1639.3514
1639.1356_FFGZ01000001	99	1639.4466
1639.1356_FFGZ01000001	100	1639.6096
1639.1356_FFGZ01000001	101	1639.4861
1639.1356_FFGZ01000001	1	1076626.3
1639.1356_FFGZ01000001	2	1639.1356
1639.1356_FFGZ01000001	3	1639.1425
1639.1356_FFGZ01000001	4	1639.10241
1639.1356_FFGZ01000001	5	1639.3762
1639.1356_FFGZ01000001	6	1639.3137
1639.1356_FFGZ01000001	7	1639.3652
1639.1356_FFGZ01000001	8	1639.3125
1639.1356_FFGZ01000001	9	1639.3169
1639.1356_FFGZ01000001	10	1639.1102
1639.1356_FFGZ01000001	11	1639.1090
1639.1356_FFGZ01000001	12	1639.1138
1639.1356_FFGZ01000001	13	1639.1096
1639.1356_FFGZ01000001	14	1639.1870
1639.1356_FFGZ01000001	15	1639.10242
1639.1356_FFGZ01000001	16	1639.4992
1639.1356_FFGZ01000001	17	1400819.3
1639.1356_FFGZ01000001	18	1639.8576
1639.1356_FFGZ01000001	19	1639.1817
1639.1356_FFGZ01000001	20	1639.10236
1639.1356_FFGZ01000001	21	1639.7037
1639.1356_FFGZ01000001	22	1639.4560
1639.1356_FFGZ01000001	23	1639.3779
1639.1356_FFGZ01000001	24	1639.4261
1639.1356_FFGZ01000001	25	1639.1837
1639.1356_FFGZ01000001	26	1639.7038
1639.1356_FFGZ01000001	27	1639.1858
1639.1356_FFGZ01000001	28	1639.4543
1639.1356_FFGZ01000001	29	1639.7039
1639.1356_FFGZ01000001	30	1639.1890
1639.1356_FFGZ01000001	31	1639.3781
1639.1356_FFGZ01000001	32	1639.7042
1639.1356_FFGZ01000001	33	1639.1043
1639.1356_FFGZ01000001	34	1639.4997
1639.1356_FFGZ01000001	35	1639.8533
1639.1356_FFGZ01000001	36	1639.3529
1639.1356_FFGZ01000001	37	1639.4862
1639.1356_FFGZ01000001	38	1639.5572
1639.1356_FFGZ01000001	39	1639.1867
1639.1356_FFGZ01000001	40	1639.5235
1639.1356_FFGZ01000001	41	1639.1042
1639.1356_FFGZ01000001	42	1639.7043
1639.1356_FFGZ01000001	43	1639.4262
1639.1356_FFGZ01000001	44	1639.1816
1639.1356_FFGZ01000001	45	1639.3504
1639.1356_FFGZ01000001	46	1639.5151
1639.1356_FFGZ01000001	47	1639.1948
1639.1356_FFGZ01000001	48	1639.3136
1639.1356_FFGZ01000001	49	1639.8209
1639.1356_FFGZ01000001	50	1639.5033
1639.1356_FFGZ01000001	51	1639.4363
1639.1356_FFGZ01000001	52	1639.5035
1639.1356_FFGZ01000001	53	1639.9399
1639.1356_FFGZ01000001	54	1639.1153
1639.1356_FFGZ01000001	55	1639.3465
1639.1356_FFGZ01000001	56	1639.3759
1639.1356_FFGZ01000001	57	1639.3229
1639.1356_FFGZ01000001	58	1639.2655
1639.1356_FFGZ01000001	59	1639.1861
1639.1356_FFGZ01000001	60	1639.1126
1639.1356_FFGZ01000001	61	1639.5116
1639.1356_FFGZ01000001	62	1639.1838
1639.1356_FFGZ01000001	63	932920.3
1639.1356_FFGZ01000001	64	1639.3067
1639.1356_FFGZ01000001	65	1639.3505
1639.1356_FFGZ01000001	66	1639.3517
1639.1356_FFGZ01000001	67	1196195.3
1639.1356_FFGZ01000001	68	1639.1131
1639.1356_FFGZ01000001	69	1639.1795
1639.1356_FFGZ01000001	70	1639.3521
1639.1356_FFGZ01000001	71	1639.1134
1639.1356_FFGZ01000001	72	1639.3753
1639.1356_FFGZ01000001	73	1639.3766
1639.1356_FFGZ01000001	74	1639.4945
1639.1356_FFGZ01000001	75	1639.3515
1639.1356_FFGZ01000001	76	1639.3494
1639.1356_FFGZ01000001	77	1639.4290
1639.1356_FFGZ01000001	78	1639.5103
1639.1356_FFGZ01000001	79	1639.3482
1639.1356_FFGZ01000001	80	1639.3500
1639.1356_FFGZ01000001	81	1639.3134
1639.1356_FFGZ01000001	82	1639.1810
1639.1356_FFGZ01000001	83	1639.3768
1639.1356_FFGZ01000001	84	1639.1818
1639.1356_FFGZ01000001	85	1639.1803
1639.1356_FFGZ01000001	86	1639.9400
1639.1356_FFGZ01000001	87	1639.5646
1639.1356_FFGZ01000001	88	1639.4821
1639.1356_FFGZ01000001	89	1196193.3
1639.1356_FFGZ01000001	90	1639.9406
1639.1356_FFGZ01000001	91	1639.2110
1639.1356_FFGZ01000001	92	1196194.3
1639.1356_FFGZ01000001	93	1639.4306
1639.1356_FFGZ01000001	94	1639.3767
1639.1356_FFGZ01000001	95	1639.3167
1639.1356_FFGZ01000001	96	1639.11185
1639.1356_FFGZ01000001	97	1639.1785
1639.1356_FFGZ01000001	98	1639.3514
1639.1356_FFGZ01000001	99	1639.4466
1639.1356_FFGZ01000001	100	1639.6096
1639.1356_FFGZ01000001	101	1639.4861
1639.1356_FFGZ01000001	1	2026795.53
1639.1356_FFGZ01000001	2	1639.1356
1639.1356_FFGZ01000001	3	1639.1425
1639.1356_FFGZ01000001	4	1639.10241
1639.1356_FFGZ01000001	5	1639.3762
1639.1356_FFGZ01000001	6	1639.3137
1639.1356_FFGZ01000001	7	1639.3652
1639.1356_FFGZ01000001	8	1639.3125
1639.1356_FFGZ01000001	9	1639.3169
1639.1356_FFGZ01000001	10	1639.1102
1639.1356_FFGZ01000001	11	1639.1090
1639.1356_FFGZ01000001	12	1639.1138
1639.1356_FFGZ01000001	13	1639.1096
1639.1356_FFGZ01000001	14	1639.1870
1639.1356_FFGZ01000001	15	1639.10242
1639.1356_FFGZ01000001	16	1639.4992
1639.1356_FFGZ01000001	17	1400819.3
1639.1356_FFGZ01000001	18	1639.8576
1639.1356_FFGZ01000001	19	1639.1817
1639.1356_FFGZ01000001	20	1639.10236
1639.1356_FFGZ01000001	21	1639.7037
1639.1356_FFGZ01000001	22	1639.4560
1639.1356_FFGZ01000001	23	1639.3779
1639.1356_FFGZ01000001	24	1639.4261
1639.1356_FFGZ01000001	25	1639.1837
1639.1356_FFGZ01000001	26	1639.7038
1639.1356_FFGZ01000001	27	1639.1858
1639.1356_FFGZ01000001	28	1639.4543
1639.1356_FFGZ01000001	29	1639.7039
1639.1356_FFGZ01000001	30	1639.1890
1639.1356_FFGZ01000001	31	1639.3781
1639.1356_FFGZ01000001	32	1639.7042
1639.1356_FFGZ01000001	33	1639.1043
1639.1356_FFGZ01000001	34	1639.4997
1639.1356_FFGZ01000001	35	1639.8533
1639.1356_FFGZ01000001	36	1639.3529
1639.1356_FFGZ01000001	37	1639.4862
1639.1356_FFGZ01000001	38	1639.5572
1639.1356_FFGZ01000001	39	1639.1867
1639.1356_FFGZ01000001	40	1639.5235
1639.1356_FFGZ01000001	41	1639.1042
1639.1356_FFGZ01000001	42	1639.7043
1639.1356_FFGZ01000001	43	1639.4262
1639.1356_FFGZ01000001	44	1639.1816
1639.1356_FFGZ01000001	45	1639.3504
1639.1356_FFGZ01000001	46	1639.5151
1639.1356_FFGZ01000001	47	1639.1948
1639.1356_FFGZ01000001	48	1639.3136
1639.1356_FFGZ01000001	49	1639.8209
1639.1356_FFGZ01000001	50	1639.5033
1639.1356_FFGZ01000001	51	1639.4363
1639.1356_FFGZ01000001	52	1639.5035
1639.1356_FFGZ01000001	53	1639.9399
1639.1356_FFGZ01000001	54	1639.1153
1639.1356_FFGZ01000001	55	1639.3465
1639.1356_FFGZ01000001	56	1639.3759
1639.1356_FFGZ01000001	57	1639.3229
1639.1356_FFGZ01000001	58	1639.2655
1639.1356_FFGZ01000001	59	1639.1861
1639.1356_FFGZ01000001	60	1639.1126
1639.1356_FFGZ01000001	61	1639.5116
1639.1356_FFGZ01000001	62	1639.1838
1639.1356_FFGZ01000001	63	932920.3
1639.1356_FFGZ01000001	64	1639.3067
1639.1356_FFGZ01000001	65	1639.3505
1639.1356_FFGZ01000001	66	1639.3517
1639.1356_FFGZ01000001	67	1196195.3
1639.1356_FFGZ01000001	68	1639.1131
1639.1356_FFGZ01000001	69	1639.1795
1639.1356_FFGZ01000001	70	1639.3521
1639.1356_FFGZ01000001	71	1639.1134
1639.1356_FFGZ01000001	72	1639.3753
1639.1356_FFGZ01000001	73	1639.3766
1639.1356_FFGZ01000001	74	1639.4945
1639.1356_FFGZ01000001	75	1639.3515
1639.1356_FFGZ01000001	76	1639.3494
1639.1356_FFGZ01000001	77	1639.4290
1639.1356_FFGZ01000001	78	1639.5103
1639.1356_FFGZ01000001	79	1639.3482
1639.1356_FFGZ01000001	80	1639.3500
1639.1356_FFGZ01000001	81	1639.3134
1639.1356_FFGZ01000001	82	1639.1810
1639.1356_FFGZ01000001	83	1639.3768
1639.1356_FFGZ01000001	84	1639.1818
1639.1356_FFGZ01000001	85	1639.1803
1639.1356_FFGZ01000001	86	1639.9400
1639.1356_FFGZ01000001	87	1639.5646
1639.1356_FFGZ01000001	88	1639.4821
1639.1356_FFGZ01000001	89	1196193.3
1639.1356_FFGZ01000001	90	1639.9406
1639.1356_FFGZ01000001	91	1639.2110
1639.1356_FFGZ01000001	92	1196194.3
1639.1356_FFGZ01000001	93	1639.4306
1639.1356_FFGZ01000001	94	1639.3767
1639.1356_FFGZ01000001	95	1639.3167
1639.1356_FFGZ01000001	96	1639.11185
1639.1356_FFGZ01000001	97	1639.1785
1639.1356_FFGZ01000001	98	1639.3514
1639.1356_FFGZ01000001	99	1639.4466
1639.1356_FFGZ01000001	100	1639.6096
1639.1356_FFGZ01000001	101	1639.4861
1639.1356_FFGZ01000001	1	1913988.138
1639.1356_FFGZ01000001	2	1639.1356
1639.1356_FFGZ01000001	3	1639.1425
1639.1356_FFGZ01000001	4	1639.10241
1639.1356_FFGZ01000001	5	1639.3762
1639.1356_FFGZ01000001	6	1639.3137
1639.1356_FFGZ01000001	7	1639.3652
1639.1356_FFGZ01000001	8	1639.3125
1639.1356_FFGZ01000001	9	1639.3169
1639.1356_FFGZ01000001	10	1639.1102
1639.1356_FFGZ01000001	11	1639.1090
1639.1356_FFGZ01000001	12	1639.1138
1639.1356_FFGZ01000001	13	1639.1096
1639.1356_FFGZ01000001	14	1639.1870
1639.1356_FFGZ01000001	15	1639.10242
1639.1356_FFGZ01000001	16	1639.4992
1639.1356_FFGZ01000001	17	1400819.3
1639.1356_FFGZ01000001	18	1639.8576
1639.1356_FFGZ01000001	19	1639.1817
1639.1356_FFGZ01000001	20	1639.10236
1639.1356_FFGZ01000001	21	1639.7037
1639.1356_FFGZ01000001	22	1639.4560
1639.1356_FFGZ01000001	23	1639.3779
1639.1356_FFGZ01000001	24	1639.4261
1639.1356_FFGZ01000001	25	1639.1837
1639.1356_FFGZ01000001	26	1639.7038
1639.1356_FFGZ01000001	27	1639.1858
1639.1356_FFGZ01000001	28	1639.4543
1639.1356_FFGZ01000001	29	1639.7039
1639.1356_FFGZ01000001	30	1639.1890
1639.1356_FFGZ01000001	31	1639.3781
1639.1356_FFGZ01000001	32	1639.7042
1639.1356_FFGZ01000001	33	1639.1043
1639.1356_FFGZ01000001	34	1639.4997
1639.1356_FFGZ01000001	35	1639.8533
1639.1356_FFGZ01000001	36	1639.3529
1639.1356_FFGZ01000001	37	1639.4862
1639.1356_FFGZ01000001	38	1639.5572
1639.1356_FFGZ01000001	39	1639.1867
1639.1356_FFGZ01000001	40	1639.5235
1639.1356_FFGZ01000001	41	1639.1042
1639.1356_FFGZ01000001	42	1639.7043
1639.1356_FFGZ01000001	43	1639.4262
1639.1356_FFGZ01000001	44	1639.1816
1639.1356_FFGZ01000001	45	1639.3504
1639.1356_FFGZ01000001	46	1639.5151
1639.1356_FFGZ01000001	47	1639.1948
1639.1356_FFGZ01000001	48	1639.3136
1639.1356_FFGZ01000001	49	1639.8209
1639.1356_FFGZ01000001	50	1639.5033
1639.1356_FFGZ01000001	51	1639.4363
1639.1356_FFGZ01000001	52	1639.5035
1639.1356_FFGZ01000001	53	1639.9399
1639.1356_FFGZ01000001	54	1639.1153
1639.1356_FFGZ01000001	55	1639.3465
1639.1356_FFGZ01000001	56	1639.3759
1639.1356_FFGZ01000001	57	1639.3229
1639.1356_FFGZ01000001	58	1639.2655
1639.1356_FFGZ01000001	59	1639.1861
1639.1356_FFGZ01000001	60	1639.1126
1639.1356_FFGZ01000001	61	1639.5116
1639.1356_FFGZ01000001	62	1639.1838
1639.1356_FFGZ01000001	63	932920.3
1639.1356_FFGZ01000001	64	1639.3067
1639.1356_FFGZ01000001	65	1639.3505
1639.1356_FFGZ01000001	66	1639.3517
1639.1356_FFGZ01000001	67	1196195.3
1639.1356_FFGZ01000001	68	1639.1131
1639.1356_FFGZ01000001	69	1639.1795
1639.1356_FFGZ01000001	70	1639.3521
1639.1356_FFGZ01000001	71	1639.1134
1639.1356_FFGZ01000001	72	1639.3753
1639.1356_FFGZ01000001	73	1639.3766
1639.1356_FFGZ01000001	74	1639.4945
1639.1356_FFGZ01000001	75	1639.3515
1639.1356_FFGZ01000001	76	1639.3494
1639.1356_FFGZ01000001	77	1639.4290
1639.1356_FFGZ01000001	78	1639.5103
1639.1356_FFGZ01000001	79	1639.3482
1639.1356_FFGZ01000001	80	1639.3500
1639.1356_FFGZ01000001	81	1639.3134
1639.1356_FFGZ01000001	82	1639.1810
1639.1356_FFGZ01000001	83	1639.3768
1639.1356_FFGZ01000001	84	1639.1818
1639.1356_FFGZ01000001	85	1639.1803
1639.1356_FFGZ01000001	86	1639.9400
1639.1356_FFGZ01000001	87	1639.5646
1639.1356_FFGZ01000001	88	1639.4821
1639.1356_FFGZ01000001	89	1196193.3
1639.1356_FFGZ01000001	90	1639.9406
1639.1356_FFGZ01000001	91	1639.2110
1639.1356_FFGZ01000001	92	1196194.3
1639.1356_FFGZ01000001	93	1639.4306
1639.1356_FFGZ01000001	94	1639.3767
1639.1356_FFGZ01000001	95	1639.3167
1639.1356_FFGZ01000001	96	1639.11185
1639.1356_FFGZ01000001	97	1639.1785
1639.1356_FFGZ01000001	98	1639.3514
1639.1356_FFGZ01000001	99	1639.4466
1639.1356_FFGZ01000001	100	1639.6096
1639.1356_FFGZ01000001	101	1639.4861
1639.1356_FFGZ01000001	1	2030807.5
1639.1356_FFGZ01000001	2	1639.1356
1639.1356_FFGZ01000001	3	1639.1425
1639.1356_FFGZ01000001	4	1639.10241
